schema,relation,constraint,class
public,recovery_ad_hoc_pool_v2,recovery_ad_hoc_pool_v2_created_by_fkey,N
public,recovery_ad_hoc_pool_v2,recovery_ad_hoc_pool_v2_employee_id_fkey,N
public,recovery_incident_rate_revisions_v2,recovery_incident_rate_revisions_v2_approved_by_fkey,N
public,recovery_incident_rate_revisions_v2,recovery_incident_rate_revisions_v2_employee_id_fkey,N
public,recovery_incident_rate_revisions_v2,recovery_incident_rate_revisions_v2_proposed_by_fkey,N
public,recovery_incident_rate_revisions_v2,recovery_incident_rate_revisions_v2_supersedes_id_fkey,N
public,recovery_incidents_v2,recovery_incidents_v2_created_by_fkey,N
public,recovery_incidents_v2,recovery_incidents_v2_employee_id_fkey,N
public,recovery_incidents_v2,recovery_incidents_v2_location_id_fkey,N
public,recovery_incidents_v2,recovery_incidents_v2_role_id_fkey,N
public,recovery_incidents_v2,recovery_incidents_v2_schedule_id_fkey,N
public,recovery_incidents_v2,recovery_incidents_v2_updated_by_fkey,N
public,recovery_month_revisions_v2,recovery_month_revisions_v2_updated_by_fkey,N
public,recovery_overrides_v2,recovery_overrides_v2_approved_by_fkey,N
public,recovery_overrides_v2,recovery_overrides_v2_created_by_fkey,N
public,recovery_overrides_v2,recovery_overrides_v2_employee_id_fkey,N
public,recovery_overrides_v2,recovery_overrides_v2_incident_id_fkey,N
public,recovery_overrides_v2,recovery_overrides_v2_role_id_fkey,N
public,role_plan_assignments,role_plan_assignments_assignment_id_fkey,N
public,role_plan_sections,role_plan_sections_approved_by_fkey,N
public,role_plan_sections,role_plan_sections_created_by_fkey,N
public,role_plan_sections,role_plan_sections_legacy_plan_id_fkey,N
public,role_plan_sections,role_plan_sections_matrix_version_id_fkey,N
public,role_plan_sections,role_plan_sections_role_id_fkey,N
public,shift_swap_history_v2,shift_swap_history_v2_actor_id_fkey,N
public,shift_swap_history_v2,shift_swap_history_v2_request_id_fkey,N
public,shift_swap_requests_v2,shift_swap_requests_v2_accepted_by_employee_id_fkey,N
public,shift_swap_requests_v2,shift_swap_requests_v2_created_by_fkey,N
public,shift_swap_requests_v2,shift_swap_requests_v2_leader_decided_by_fkey,N
public,shift_swap_requests_v2,shift_swap_requests_v2_matrix_version_id_fkey,N
public,shift_swap_requests_v2,shift_swap_requests_v2_proposer_employee_id_fkey,N
public,shift_swap_requests_v2,shift_swap_requests_v2_replacement_id_fkey,N
public,shift_swap_requests_v2,shift_swap_requests_v2_role_id_fkey,N
public,shift_swap_requests_v2,shift_swap_requests_v2_target_employee_id_fkey,N
public,shifts,shifts_location_id_fkey,N
public,shifts,shifts_source_event_id_fkey,N
public,solver_feature_flags,solver_feature_flags_updated_by_fkey,N
public,tasks,tasks_created_by_fkey,N
public,tasks,tasks_source_event_id_fkey,N
public,team_conversation_members_v1,team_conversation_members_v1_employee_id_fkey,N
public,team_conversations_v1,team_conversations_v1_created_by_fkey,N
public,team_messages_v1,team_messages_v1_sender_user_id_fkey,N
public,time_records,time_records_approved_by_fkey,N
public,workforce_calendar_events_v2,workforce_calendar_events_v2_cancelled_by_fkey,N
public,workforce_calendar_events_v2,workforce_calendar_events_v2_created_by_fkey,N
public,workforce_calendar_events_v2,workforce_calendar_events_v2_matrix_version_id_fkey,R
public,workforce_calendar_events_v2,workforce_calendar_events_v2_matrix_version_id_location_id_fkey,N
public,workforce_event_demand_v2,workforce_event_demand_v2_matrix_version_id_duty_id_fkey,N
public,workforce_event_demand_v2,workforce_event_demand_v2_matrix_version_id_fkey,R
public,workforce_event_demand_v2,workforce_event_demand_v2_matrix_version_id_role_id_fkey,N
public,workforce_event_demand_v2,workforce_event_demand_v2_matrix_version_id_shift_template_fkey,N
public,workforce_hot_day_limits_v2,workforce_hot_day_limits_v2_matrix_version_id_fkey,R
public,workforce_hot_day_limits_v2,workforce_hot_day_limits_v2_matrix_version_id_role_id_fkey,N
solver_private,leader_variant_history_cursor_v2,leader_variant_history_cursor_v2_current_seq_fkey,N
solver_private,leader_variant_history_cursor_v2,leader_variant_history_cursor_v2_updated_by_fkey,N
solver_private,leader_variant_history_v2,leader_variant_history_v2_created_by_fkey,N
